site_id,location_name,city_name,latitude,longitude,district_code,district_name,state_code,state_name,ncap_city_flag
site_1569,"New Collectorate, Baghpat - UPPCB",Baghpat - NCR,28.974801,77.213357,IN-139,Baghpat,IN-UP,Uttar Pradesh,0
site_157,"IGSC Planetarium Complex, Patna - BSPCB",Patna,25.5941,85.1376,IN-230,Patna,IN-BR,Bihar,1
site_158,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",Muzaffarpur,26.1209,85.3647,IN-216,Muzaffarpur,IN-BR,Bihar,1
site_159,"Collectorate, Gaya - BSPCB",Gaya,24.7955,84.9994,IN-236,Gaya,IN-BR,Bihar,1
site_161,"Sector-6, Panchkula - HSPCB",Panchkula,30.7057778,76.8531805555555,IN-69,Panchkula,IN-HR,Haryana,0
site_162,"BTM Layout, Bengaluru - CPCB",Bengaluru,12.9135218,77.5950804,IN-572,Bangalore,IN-KA,Karnataka,1
site_163,"Peenya, Bengaluru - CPCB",Bengaluru,13.0270199,77.494094,IN-572,Bangalore,IN-KA,Karnataka,1
site_164,"BWSSB Kadabesanahalli, Bengaluru - CPCB",Bengaluru,12.9352049,77.6814488,IN-572,Bangalore,IN-KA,Karnataka,1
site_165,"City Railway Station, Bengaluru - KSPCB",Bengaluru,12.9756843,77.5660749,IN-572,Bangalore,IN-KA,Karnataka,1
site_166,"Sanegurava Halli, Bengaluru - KSPCB",Bengaluru,12.990328,77.5431385,IN-572,Bangalore,IN-KA,Karnataka,1
site_168,"Bandra, Mumbai - MPCB",Mumbai,19.0627,72.84614,IN-518,Mumbai Suburban,IN-MH,Maharashtra,1
site_198,"More Chowk Waluj, Aurangabad - MPCB",Aurangabad,19.8389439,75.244448,IN-515,Aurangabad,IN-MH,Maharashtra,1
site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",Hyderabad,17.540891,78.358528,IN-537,Rangareddy,IN-TG,Telangana,1
site_251,"ICRISAT Patancheru, Hyderabad - TSPCB",Hyderabad,17.5184,78.278777,IN-535,Medak,IN-TG,Telangana,1
site_252,"Plammoodu, Thiruvananthapuram - Kerala PCB",Thiruvananthapuram,8.5149093,76.9435879,IN-601,Thiruvananthapuram,IN-KL,Kerala,0
site_253,"Punjab Agricultural University, Ludhiana - PPCB",Ludhiana,30.9028,75.8086,IN-41,Ludhiana,IN-PB,Punjab,1
site_254,Tata Stadium - Jorapokhar - JSPCB,Jorapokhar,23.707909,86.41467,IN-354,Dhanbad,IN-JH,Jharkhand,0
site_255,"RIMT University, Mandi Gobindgarh - PPCB",Mandi Gobindgarh,30.649961,76.331442,IN-40,Fatehgarh Sahib,IN-PB,Punjab,1
site_256,"Golden Temple, Amritsar - PPCB",Amritsar,31.62,74.876512,IN-49,Amritsar,IN-PB,Punjab,1
site_257,"PWD Grounds, Vijayawada - APPCB",Vijayawada,16.507014,80.627767,IN-548,Guntur,IN-AP,Andhra Pradesh,1
site_258,"Tirumala, Tirupati - APPCB",Tirumala,13.67,79.35,IN-554,Chittoor,IN-AP,Andhra Pradesh,0
site_260,"GVM Corporation, Visakhapatnam - APPCB",Visakhapatnam,17.722682,83.308197,IN-544,Visakhapatnam,IN-AP,Andhra Pradesh,1
site_261,"Airoli, Navi Mumbai - MPCB",Navi Mumbai,19.1494,72.9986,IN-517,Thane,IN-MH,Maharashtra,1
site_262,"Central University, Hyderabad - TSPCB",Hyderabad,17.460103,78.334361,IN-537,Rangareddy,IN-TG,Telangana,1
site_263,"Sector- 16A, Faridabad, Haryana - HSPCB",Faridabad - NCR,28.4088421,77.3099081,IN-88,Faridabad,IN-HR,Haryana,1
site_271,"Chauhan Colony, Chandrapur - MPCB",Chandrapur,19.9629,79.298714,IN-509,Chandrapur,IN-MH,Maharashtra,1
site_272,"Central School, Lucknow - CPCB",Lucknow,26.8821003,80.9302753,IN-157,Lucknow,IN-UP,Uttar Pradesh,1
site_273,"Ardhali Bazar, Varanasi - UPPCB",Varanasi,25.3505986,82.9083074,IN-197,Varanasi,IN-UP,Uttar Pradesh,1
site_274,"Ghusuri, Howrah - WBPCB",Howrah,22.611968,88.347422,IN-341,Haora,IN-WB,West Bengal,1
site_275,"IDA Pashamylaram, Hyderabad - TSPCB",Hyderabad,17.5316895,78.218939,IN-535,Medak,IN-TG,Telangana,1
site_276,"Nehru Nagar, Kanpur - UPPCB",Kanpur,26.4703136,80.3229863,IN-164,Kanpur Nagar,IN-UP,Uttar Pradesh,1
site_277,"Lalbagh, Lucknow - CPCB",Lucknow,26.8458805,80.9365541,IN-157,Lucknow,IN-UP,Uttar Pradesh,1
site_288,"Velachery Res. Area, Chennai - CPCB",Chennai,13.0052189,80.2398125,IN-603,Chennai,IN-TN,Tamil Nadu,1
site_292,"Karve Road Pune, Pune - MPCB",Pune,18.5011743,73.8165527,IN-521,Pune,IN-MH,Maharashtra,1
site_293,"Alandur Bus Depot, Chennai - CPCB",Chennai,12.9099161,80.1076538,IN-604,Kancheepuram,IN-TN,Tamil Nadu,1
site_294,"Sanathnagar, Hyderabad - TSPCB",Hyderabad,17.4559458,78.4332152,IN-537,Rangareddy,IN-TG,Telangana,1
site_295,"MIDC Khutala, Chandrapur - MPCB",Chandrapur,19.9775302,79.2337086,IN-509,Chandrapur,IN-MH,Maharashtra,1
site_296,"Rabindra Bharati University, Kolkata - WBPCB",Kolkata,22.627875,88.3804,IN-342,Kolkata,IN-WB,West Bengal,1
site_297,"Talkatora District Industries Center, Lucknow - CPCB",Lucknow,26.83399722,80.8917361,IN-157,Lucknow,IN-UP,Uttar Pradesh,1
site_298,"Zoo Park, Hyderabad - TSPCB",Hyderabad,17.349694,78.451437,IN-536,Hyderabad,IN-TG,Telangana,1
site_299,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB",Durgapur,23.5404352,87.2892225,IN-335,Barddhaman,IN-WB,West Bengal,1
site_300,Haldia - WBSPCB,Haldia,22.06047,88.109737,IN-345,Purba Medinipur,IN-WB,West Bengal,1
site_301,"Anand Vihar, New Delhi - DPCC",Delhi,28.646835,77.316032,IN-93,East Delhi,IN-DL,Delhi,1
site_302,"Solapur, Solapur - MPCB",Solapur,17.6599188,75.9063906,IN-526,Solapur,IN-MH,Maharashtra,1
